child_id,uuid,action
S-F0009-P0412,uuid:51784bf4-ca2b-494a-81dd-945b6fd76d01,delete
S-F0021-P1012,uuid:47503e7c-6e65-47b7-aecb-2c50c8ddb260,delete
S-F0021-P1454,uuid:3cf618ab-b45d-4e60-8cc0-7fbbbd31fae0,delete
S-F0022-P0542,uuid:902cd611-bab7-4db7-86b3-0a00d79f509e,delete
S-F0034-P0680,uuid:db7b8553-aa99-419c-b927-a524080dd28b,delete
S-F0039-P0470,uuid:751eeb86-81a4-4e98-a46d-536ff228fbc9,delete
S-F0039-P0470,uuid:7dadfe7f-6d6a-4127-9503-d552676c7af5,delete
S-F0039-P0669,uuid:0f132af6-9c1c-41cb-91dd-5cb870a0ca83,delete
S-F0021-P9855,uuid:5678ff77-5020-4ed1-9b71-75b36ed667eb,delete
