old_fid,uuid,new_fid
F0003,uuid:74815a1b-986d-4644-b28a-cb0003c036f7,F0013
F0003,uuid:8f5808d0-fb1d-4434-a893-79527164d32b,F0013
F0005,uuid:a6ba6389-ed95-47b9-b359-9572b093b351,F0085
F0019,uuid:4387ba18-2e82-4077-9656-7e1a937cb347,F0028
F0089,uuid:db838424-0777-43d5-95c5-2f6e6c540845,F0092
F0031,uuid:d5ef3cca-1254-4631-bf83-481ce659b26d,F0038
F0031,uuid:08d5a065-7c11-403c-9207-bb55086cf316,F0043
