old_child_id,uuid,new_child_id,reason,action
T-F0013-C0682,uuid:2f3b1481-a044-4baf-b396-cc347d6ab44a,T-F0013-P0682,manual error,correct
T-F0006-P0481,uuid:d56b35b3-0fed-405c-84a7-df736452c6ac,T-R0006-P0481,manual error,correct
