old_fid,uuid,new_fid
F0006,uuid:998970b7-f97d-4e2c-bb9c-48e96e515908,F0013
F0012,uuid:2d1ac16f-b73d-482e-ba25-d0c995468af1,F0014
F0087,uuid:14c41249-27f8-4aa1-aff0-28ca5ef006d1,F0092
F0101,uuid:cf9024db-39ec-4898-8538-e8f2cdc3fa63,F0036
F0101,uuid:13b482eb-3876-4f6a-88f7-966d212ab823,F0042
