child_id,uuid,action
S-F0010-P0395,uuid:8c65805e-9350-473d-8694-0456e7c40b90,delete
S-F0010-P0529,uuid:b5136d31-db8b-40fc-ba54-c16abd778a63,delete
S-F0010-P0536,uuid:e5f8b093-eb55-4551-8841-20f4949c577f,delete
S-F0021-P1567,uuid:7f3fe6a6-4c54-4a3f-97cc-11f17c8527dd,delete
S-F0027-P0322,uuid:fe5af7d9-1dc1-4276-afb2-b2baaed59715,delete
S-F0037-P0352,uuid:3a2106a3-9c23-4db5-97e6-ad89d07d9de9,delete
S-F0037-P0352,uuid:bff9341e-cbef-4ce5-999c-21ec65ffe136,delete
S-F0045-P0931,uuid:b25a34e8-c209-4524-96af-e3f30dfd3718,delete
